motif,0,1,2,3,4,5,6,7,8,9
-2-1-2+2+1+2,0,0,0,0,0,0,0,0,0,1
-2-1-2-1+1+1,0,0,0,0,0,0,2,0,0,0
-2-1-2-1+2+1,0,1,0,1,2,1,0,1,0,0
-2-1-2-1+2+2,1,1,0,0,5,0,3,0,1,2
-2-1-2-1-1-1,0,0,0,0,0,0,0,0,0,1
-2-1-2-1-2-1,0,0,0,0,0,0,0,0,0,1
-2-2+1+1+1+1,5,1,9,9,9,2,4,6,5,7
-2-2+1+2+1+1,1,3,0,2,6,0,0,1,1,3
-2-2+1+2+1+2,0,0,2,0,0,0,1,0,4,0
-2-2+1-1+1+1,0,0,0,4,1,0,4,0,0,1
-2-2+1-1+1+2,0,0,1,2,0,1,1,0,1,1
-2-2+1-2+1+1,0,0,0,2,0,1,1,1,0,0
-2-2+1-2+1+2,0,0,0,0,1,1,0,0,1,0
-2-2+1-2+1-2,0,0,0,0,0,0,0,0,0,2
-2-2+2+1+1+1,1,1,1,6,5,5,3,6,4,7
-2-2+2+1+1+2,0,1,0,0,3,4,0,0,3,0
-2-2+2+1+1-1,0,0,0,1,0,0,1,0,2,1
-2-2+2+1+1-2,0,1,1,0,0,0,0,0,0,1
-2-2+2+1+2+1,0,0,0,0,1,0,1,0,5,3
-2-2+2+2+1+1,1,6,4,5,8,4,1,1,8,12
-2-2+2+2+1+2,0,1,2,1,0,3,0,1,2,8
-2-2+2+2+1-1,0,0,0,1,1,1,0,0,0,1
-2-2+2+2+1-2,0,0,0,0,0,2,2,1,0,1
-2-2+2+2+2+1,0,0,0,4,0,3,2,4,4,5
-2-2+2+2+2+2,1,0,3,2,0,0,0,2,3,4
-2-2+2-1+1+1,0,0,0,0,0,0,0,1,0,0
-2-2+2-1+2+2,0,0,0,0,0,1,0,0,0,0
-2-2+2-2+1-2,0,0,0,0,0,0,0,0,0,1
-2-2-1+1+1+1,0,1,0,1,4,0,0,1,0,0
-2-2-1+1+1+2,0,0,0,0,1,0,0,0,1,0
-2-2-1+1+1-1,0,0,0,0,1,0,0,0,0,0
-2-2-1+1+2+1,0,1,0,0,1,0,0,0,1,0
-2-2-1+1+2+2,0,0,0,0,3,0,1,0,1,1
-2-2-1-1+1+1,1,1,0,2,3,0,0,0,0,0
-2-2-1-1+1+2,0,0,1,2,3,0,0,0,2,0
-2-2-1-1+1-1,0,0,0,0,0,0,0,0,0,2
-2-2-1-1+1-2,0,0,0,0,3,0,0,0,0,0
-2-2-1-1+2+1,0,1,1,1,1,0,0,0,0,0
-2-2-1-1+2+2,1,4,0,1,0,3,4,0,2,0
-2-2-1-2+1+1,1,1,0,1,1,0,0,1,1,1
-2-2-1-2+1+2,2,0,0,0,2,0,1,0,0,0
-2-2-1-2+1-1,0,0,0,0,0,0,0,0,0,2
-2-2-1-2+1-2,0,0,0,0,1,0,0,0,0,0
-2-2-1-2+2+1,2,0,0,0,0,2,0,0,0,3
-2-2-1-2+2+2,3,1,0,3,15,0,2,2,2,1
-2-2-1-2+2-2,0,0,0,0,0,0,0,1,0,0
-2-2-2+1+1+1,1,0,2,0,0,0,0,0,0,0
-2-2-2+1+2+2,0,1,0,0,1,1,2,0,2,1
-2-2-2+1-1+1,0,0,1,0,0,0,0,0,0,0
-2-2-2-1+1+1,1,2,0,1,3,0,0,0,0,0
-2-2-2-1+1+2,0,0,1,0,1,0,1,0,1,2
-2-2-2-1+1-1,0,0,0,1,0,0,0,0,0,0
-2-2-2-1+1-2,0,0,0,0,2,0,0,0,0,0
-2-2-2-1+2+1,0,1,2,2,0,2,0,0,0,0
-2-2-2-1+2+2,4,2,1,4,3,2,1,1,2,1
-2-2-2-1-1-1,0,2,0,0,0,0,1,0,2,0
-2-2-2-2+1+1,2,2,0,0,6,0,0,0,1,1
-2-2-2-2+2+1,4,1,0,4,4,0,0,0,0,1
-2-2-2-2+2+2,1,2,2,2,11,4,3,3,5,0
-2-2-2-2-1+1,0,0,0,0,0,0,0,1,0,0
-2-2-2-2-1+2,2,0,0,0,0,0,0,0,0,0
-2-2-2-2-2-1,0,0,0,0,0,0,0,0,1,1
+0+1+1+1+1+1,582,582,1006,1211,1013,1098,947,872,1103,1085
+0+1+1+1+1+2,102,126,187,203,143,241,219,181,234,200
+0+1+1+1+1-1,28,27,28,57,49,40,49,28,18,35
+0+1+1+1+1-2,10,3,6,31,18,12,10,9,15,6
+0+1+1+1+1+0,358,328,616,586,569,639,595,551,753,621
+0+1+1+1+2+1,218,185,323,355,277,372,341,334,415,356
+0+1+1+1+2+2,278,251,410,559,437,596,466,452,643,615
+0+1+1+1+2-1,7,0,5,10,2,8,2,6,4,3
+0+1+1+1+2-2,5,0,5,5,0,3,4,1,1,0
+0+1+1+1-1+1,9,11,12,10,12,24,9,10,8,19
+0+1+1+1-1+2,1,2,4,1,1,1,1,0,0,0
+0+1+1+1-1-1,7,3,1,13,11,14,10,11,7,23
+0+1+1+1-1-2,7,6,4,5,11,8,9,9,9,10
+0+1+1+1-2+1,2,10,9,11,5,4,4,2,7,3
+0+1+1+1-2+2,0,1,0,2,0,2,0,0,0,1
+0+1+1+1-2-1,3,11,7,10,9,6,7,7,2,7
+0+1+1+1-2-2,12,4,4,18,13,1,9,5,8,8
+0+1+1+2+1+1,274,264,441,454,344,495,425,406,489,439
+0+1+1+2+1+2,94,112,169,205,113,205,170,181,218,217
+0+1+1+2+1-1,15,17,13,21,13,8,23,12,24,20
+0+1+1+2+1-2,8,3,3,10,4,6,8,6,2,7
+0+1+1+2+2+1,69,51,106,100,85,124,120,81,130,92
+0+1+1+2+2+2,179,150,229,212,180,320,240,240,318,297
+0+1+1+2+2-1,1,2,0,0,2,7,2,4,0,1
+0+1+1+2+2-2,0,0,0,0,2,4,3,10,0,5
+0+1+1+2-1+1,10,10,6,2,4,11,10,10,9,9
+0+1+1+2-1+2,3,0,1,4,0,1,0,0,1,3
+0+1+1+2-1-1,2,2,0,1,8,8,6,0,5,9
+0+1+1+2-1-2,3,4,0,3,4,2,2,3,3,3
+0+1+1+2-2+1,5,4,2,8,0,7,5,4,10,5
+0+1+1+2-2+2,1,0,1,4,0,3,0,0,1,2
+0+1+1+2-2-1,1,0,0,9,3,2,8,2,1,5
+0+1+1+2-2-2,0,2,2,8,1,4,4,4,10,5
+0+1+1-1+1+1,7,9,6,14,11,11,10,6,9,20
+0+1+1-1+1+2,2,0,0,5,5,2,3,4,4,6
+0+1+1-1+1-1,1,1,3,4,3,0,3,1,3,3
+0+1+1-1+1-2,0,0,0,1,0,1,0,1,1,2
+0+1+1-1+2+1,2,3,3,4,6,6,7,5,6,7
+0+1+1-1+2+2,5,2,9,7,7,8,3,9,8,12
+0+1+1-1+2-1,0,0,2,0,0,1,2,1,1,1
+0+1+1-1+2-2,0,0,0,0,0,0,1,0,0,0
+0+1+1-1-1+1,0,0,0,0,3,0,0,0,0,1
+0+1+1-1-1-1,0,0,1,0,0,1,0,1,0,0
+0+1+1-1-1-2,1,0,0,0,1,1,0,0,0,1
+0+1+1-1-2+1,0,0,0,0,0,0,0,0,1,0
+0+1+1-1-2-1,0,0,0,0,2,1,1,0,0,0
+0+1+1-1-2-2,0,0,0,0,1,1,0,0,0,0
+0+1+1-2+1+1,3,5,1,3,3,2,8,0,5,4
+0+1+1-2+1+2,1,0,2,2,1,0,2,2,1,3
+0+1+1-2+1-1,0,2,0,0,0,0,1,0,3,3
